"","country","year","gdp_nominal - US$MM","gdp_per capita (usd)","population","host_y","host_n","Index of Economic Freedom","no_of_internet_users","Gender gap index","number_sports_schools","Sports_budget- millions","Sports trainees","Rank","Olympics","GOLD","SILVER","BRONZE","total_No_of_medals","cluster"
"1","USA",2016,18624475,59495,322179605,0,1,75.4,245436423,722,NA,NA,NA,1,"Summer",46,37,38,121,1
"2","GBR",2016,2624529,43620,65788574,0,1,76.4,62354410,752,NA,NA,NA,2,"Summer",27,23,17,67,3
"3","CHN",2016,11218281,16624,1403500365,0,1,52,746662194,676,NA,NA,NA,3,"Summer",26,18,26,70,2
"4","RUS",2016,1527469,27890,146864513,0,1,50.6,110003284,691,NA,NA,NA,4,"Summer",19,17,19,55,3
"5","GER",2016,3684816,50206,81914672,0,1,74.4,73436503,766,NA,NA,NA,5,"Summer",17,10,15,42,3
"6","JPN",2016,4872135,42659,127748513,0,1,73.1,117528631,660,NA,NA,NA,6,"Summer",12,8,21,41,3
"7","FRA",2016,2583560,43550,64720690,0,1,62.3,55413854,755,NA,NA,NA,7,"Summer",10,18,14,42,3
"8","KOR",2016,1538030,39387,50791919,0,1,71.7,47094267,649,NA,NA,NA,8,"Summer",9,3,9,21,4
"9","ITA",2016,1937894,37970,59429938,0,1,61.2,36442438,719,NA,NA,NA,9,"Summer",8,12,8,28,4
"10","AUS",2016,1379548,49882,24125848,0,1,80.3,21288648,721,NA,NA,NA,10,"Summer",8,11,10,29,4
"11","NED",2016,825745,53582,16987330,0,1,74.6,15358245,756,NA,NA,NA,11,"Summer",8,7,4,19,4
"12","HUN",2016,152284,28910,9753281,0,1,66,7730451,669,NA,NA,NA,12,"Summer",8,3,4,15,4
"13","BRA",2016,2054969,15500,207652865,1,0,56.5,123927230,687,NA,NA,NA,13,"Summer",7,6,6,19,4
"14","ESP",2016,1313951,38171,46347576,0,1,68.5,37337607,738,NA,NA,NA,14,"Summer",7,4,6,17,4
"15","KEN",2016,79511,3496,48461567,0,1,57.5,12600007,643,NA,NA,NA,15,"Summer",6,6,1,13,4
"16","JAM",2016,14290,9212,2881355,0,1,67.5,1296610,724,NA,NA,NA,16,"Summer",6,3,2,11,4
"17","CRO",2016,54516,24095,4213265,0,1,59.1,3063044,700,NA,NA,NA,17,"Summer",5,3,2,10,4
"18","CUB",2016,89689,1190,11475982,0,1,29.8,4449238,740,NA,NA,NA,18,"Summer",5,2,4,11,4
"19","NZL",2016,201485,38502,4660833,0,1,81.6,4123439,781,NA,NA,NA,19,"Summer",4,9,5,18,4
"20","CAN",2016,1652412,48141,36289822,0,1,78,32602776,731,NA,NA,NA,20,"Summer",4,3,15,22,4
"21","IND",2016,2611012,7174,1324171354,0,1,56.2,500292635,683,NA,15920,NA,NA,"Summer",0,1,1,2,2
"22","USA",2012,16155250,42296.23165,315791284,0,1,76.3,245436423,737.3,NA,NA,NA,NA,"Summer",46,28,29,103,1
"23","GBR",2012,2655458,31295.14315,63177406,1,0,74.1,62354410,743.3,NA,NA,NA,NA,"Summer",29,17,19,65,3
"24","CHN",2012,8570348,9501.574246,1353600687,0,1,51.2,746662194,685.3,NA,NA,NA,NA,"Summer",38,31,22,91,2
"25","RUS",2012,2170145,15427.61675,142703181,0,1,50.5,110003284,698,NA,NA,NA,NA,"Summer",20,20,30,70,3
"26","GER",2012,3545946,34131.8746,81990837,0,1,71,73436503,762.9,NA,NA,NA,NA,"Summer",11,20,13,44,3
"27","JPN",2012,6203213,28559.60016,126434653,0,1,71.6,117528631,653,NA,NA,NA,NA,"Summer",7,14,17,38,3
"28","FRA",2012,2682901,29896.41822,63457777,0,1,63.2,55413854,698.4,NA,NA,NA,NA,"Summer",11,11,13,35,3
"29","KOR",2012,1222807,26199.40356,48588326,0,1,69.9,47094267,635.6,NA,NA,NA,NA,"Summer",13,9,8,30,4
"30","ITA",2012,2073971,25811.73933,60964145,0,1,58.8,36442438,672.9,NA,NA,NA,NA,"Summer",8,9,11,28,4
"31","AUS",2012,1561052,36064.73728,22918688,0,1,83.1,21288648,729.4,NA,NA,NA,NA,"Summer",8,15,12,35,3
"32","NED",2012,829406,24749.989545,16714228,0,1,73.3,15358245,765.9,NA,NA,NA,NA,"Summer",6,6,8,20,4
"33","HUN",2012,127321,17065.60473,9949589,0,1,67.1,7730451,671.8,NA,NA,NA,NA,"Summer",8,4,6,18,4
"34","BRA",2012,2464053,10383.54059,198360943,0,1,57.9,123927230,690.9,NA,NA,NA,NA,"Summer",3,5,9,17,4
"35","ESP",2012,1336685,26457.75726,46771596,0,1,69.1,37337607,726.6,NA,NA,NA,NA,"Summer",4,10,4,18,4
"36","KEN",2012,50420,1517.697544,42749418,0,1,57.5,12600007,676.8,NA,NA,NA,NA,"Summer",2,4,6,12,4
"37","JAM",2012,14761,6945.702747,2761331,0,1,65.1,1296610,703.5,NA,NA,NA,NA,"Summer",4,5,3,12,4
"38","CRO",2012,56486,13388.99028,4387376,0,1,60.9,3063044,705.3,NA,NA,NA,NA,"Summer",3,1,2,6,4
"39","CUB",2012,1223451.5,10197.41919,11249266,0,1,28.3,4449238,741.7,NA,NA,NA,NA,"Summer",5,3,7,15,4
"40","NZL",2012,175062,25223.53514,4461257,0,1,82.1,4123439,780,NA,NA,NA,NA,"Summer",6,2,5,13,4
"41","CAN",2012,1824289,35992.83272,34674708,0,1,79.9,32602776,738.1,NA,NA,NA,NA,"Summer",2,5,11,18,4
"42","IND",2012,1828120,3229.147887,1258350971,0,1,54.6,500292635,644.2,NA,10410,NA,NA,"Summer",0,2,4,6,2
"43","USA",2008,14718575,42226.58003,304989064,0,1,80.6,245436423,717.9,NA,NA,NA,NA,"Summer",36,39,37,112,1
"44","GBR",2008,2898941,32623.51605,61270318,0,1,79.5,62354410,736.6,NA,NA,NA,NA,"Summer",19,13,19,51,3
"45","CHN",2008,4604285,6816.668675,1328275524,1,0,52.8,746662194,687.8,NA,NA,NA,NA,"Summer",48,22,30,100,2
"46","RUS",2008,1784514,14756.21687,143163100,0,1,49.9,110003284,699.4,NA,NA,NA,NA,"Summer",24,13,23,60,3
"47","GER",2008,3770150,33157.24396,82475271,0,1,71.2,73436503,739.4,NA,NA,NA,NA,"Summer",16,11,14,41,3
"48","JPN",2008,5037910,31079.6708,126544640,0,1,72.5,117528631,643.4,NA,NA,NA,NA,"Summer",9,7,9,25,3
"49","FRA",2008,2937321,30459.72132,62098413,0,1,65.4,55413854,734.1,NA,NA,NA,NA,"Summer",11,11,13,35,3
"50","KOR",2008,1002219,23735.77029,47733951,0,1,67.9,47094267,615.4,NA,NA,NA,NA,"Summer",13,11,8,32,4
"51","ITA",2008,2402062,27950.95204,59891479,0,1,62.5,36442438,678.8,NA,NA,NA,NA,"Summer",8,9,10,27,4
"52","AUS",2008,1057171,34444.33306,21513817,0,1,82,21288648,724.1,NA,NA,NA,NA,"Summer",14,15,17,46,3
"53","NED",2008,940665,23358.37853,16503263,0,1,76.8,15358245,740,NA,NA,NA,NA,"Summer",7,5,4,16,4
"54","HUN",2008,157291,17922.27168,10021886,0,1,67.2,7730451,686.7,NA,NA,NA,NA,"Summer",3,5,2,10,4
"55","BRA",2008,1695855,9681.548355,191543237,0,1,55.9,123927230,673.7,NA,NA,NA,NA,"Summer",3,4,9,16,4
"56","ESP",2008,1642738,28204.17887,45146258,0,1,69.7,37337607,728.1,NA,NA,NA,NA,"Summer",5,11,3,19,4
"57","KEN",2008,35895,1436.098669,38455418,0,1,59.6,12600007,654.7,NA,NA,NA,NA,"Summer",6,4,6,16,4
"58","JAM",2008,13743,7274.021736,2720282,0,1,66.2,1296610,698,NA,NA,NA,NA,"Summer",5,4,1,10,4
"59","CRO",2008,70452,14918.45074,4418387,0,1,54.6,3063044,696.7,NA,NA,NA,NA,"Summer",0,2,3,5,4
"60","CUB",2008,13743,9259.94522,11266905,0,1,27.5,4449238,719.5,NA,NA,NA,NA,"Summer",3,10,16,29,4
"61","NZL",2008,135525,25160.53458,4277809,0,1,80.2,4123439,786,NA,NA,NA,NA,"Summer",3,2,4,9,4
"62","CAN",2008,1549073,35978.20955,33327954,0,1,80.2,32602776,713.6,NA,NA,NA,NA,"Summer",3,9,8,20,4
"63","IND",2008,1224096,2605.770925,1190863679,0,1,54.2,500292635,606,NA,11118.1,NA,NA,"Summer",1,0,2,3,2
"64","USA",2004,12274925,40956.40134,294063120,0,1,NA,245436423,704.2,NA,NA,NA,NA,"Summer",36,39,26,101,1
"65","GBR",2004,2390268,31097.5219,59891788,0,1,NA,62354410,736.5,NA,NA,NA,NA,"Summer",9,9,12,30,4
"66","CHN",2004,1966223,4551.126044,1300552134,0,1,NA,746662194,656.1,NA,NA,NA,NA,"Summer",32,17,14,63,2
"67","RUS",2004,634999,11090.77402,144306982,0,1,NA,110003284,677,NA,NA,NA,NA,"Summer",28,26,36,90,3
"68","GER",2004,2823071,30260.6614,82524343,0,1,NA,73436503,752.4,NA,NA,NA,NA,"Summer",13,16,20,49,3
"69","JPN",2004,4815772,29742.04613,126299414,0,1,NA,117528631,644.7,NA,NA,NA,NA,"Summer",16,9,12,37,3
"70","FRA",2004,2126995,29505.88006,60596691,0,1,NA,55413854,652,NA,NA,NA,NA,"Summer",11,9,13,33,3
"71","KOR",2004,764892,20442.74085,46830699,0,1,NA,47094267,615.7,NA,NA,NA,NA,"Summer",9,12,9,30,4
"72","ITA",2004,1800756,27887.57345,58263782,0,1,NA,36442438,645.6,NA,NA,NA,NA,"Summer",10,11,11,32,4
