Country,Population,Nominal GDP
China,"1,415,045,928","14,093"
India,"1,354,051,854","2,848"
U.S.,"326,766,748","20,412.87"
Indonesia,"266,794,980","1,075"
Brazil,"210,867,954","2,139"
Pakistan,"200,813,818",325
Nigeria,"195,875,237",409
Bangladesh,"166,368,149",286
Russia,"143,964,709","1,720"
Mexico,"130,759,074","1,213"
Japan,"127,185,332","5,167"
Ethiopia,"107,534,882",86
Philippines,"106,512,074",332
Egypt,"99,375,741",253
Viet Nam,"96,491,146",240.779
Germany,"82,293,457","4,212"
Turkey,"81,916,871",910
Thailand,"69,183,173",484
U.K.,"66,573,504","2,936"
France,"65,233,271","2,925"
Italy,"59,290,969","2,182"
Tanzania,"59,091,392",57
South Africa,"57,398,421",371
Myanmar,"53,855,735",71
South Korea,"51,164,435","1,693.25"
Kenya,"50,950,879",88
Colombia,"49,464,683",328
Spain,"46,397,452","1,506"
Argentina,"44,688,864",626
Uganda,"44,270,563",28
Ukraine,"44,009,214",119
Algeria,"42,008,054",198
Sudan,"41,511,526",42
Iraq,"39,339,753",223
Poland,"38,104,832",614
Canada,"36,953,765","1,799"
Afghanistan,"36,373,176",22
Morocco,"36,191,805",121
Saudi Arabia,"33,554,343",748
Peru,"32,551,815",232
Venezuela,"32,381,221",101
Uzbekistan,"32,364,996",40
Malaysia,"32,042,458",365
Angola,"30,774,205",119
Mozambique,"30,528,673",14
Nepal,"29,624,035",27
Ghana,"29,463,643",52
Yemen,"28,915,284",14
Madagascar,"26,262,810",13
North Korea,"25,610,672","1,693.25"
Côte d'Ivoire,"24,905,843",48
Australia,"24,772,247","1,500"
Cameroon,"24,678,234",39
Niger,"22,311,375",10
Sri Lanka,"20,950,041",93
Burkina Faso,"19,751,651",15
Romania,"19,580,634",246
Malawi,"19,164,728",7
Mali,"19,107,706",18
Kazakhstan,"18,403,860",179
Chile,"18,197,209",280
Zambia,"17,609,178",26
Guatemala,"17,245,346",82
Netherlands,"17,084,459",945
Zimbabwe,"16,913,261",19
Ecuador,"16,863,425",107
Senegal,"16,294,270",20
Cambodia,"16,245,729",24
Chad,"15,353,184",11
Somalia,"15,181,925",8
Guinea,"13,052,608",11
South Sudan,"12,919,053",3
Rwanda,"12,501,156",10
Tunisia,"11,659,174",40
Belgium,"11,498,519",562
Benin,"11,485,674",11
Burundi,"11,216,450",4
Bolivia,"11,215,674",41
Greece,"11,142,161",227
Haiti,"11,112,945",9
Dominican Republic,"10,882,996",80
Czech Republic,"10,625,250",252
Portugal,"10,291,196",249
Sweden,"9,982,709",601
Azerbaijan,"9,923,914",45
Jordan,"9,903,802",43
Hungary,"9,688,847",164
United Arab Emirates,"9,541,615",412
Belarus,"9,452,113",59
Honduras,"9,417,167",24
Tajikistan,"9,107,211",8
Serbia,"8,762,027",48
Austria,"8,751,820",478
Switzerland,"8,544,034",742
Israel,"8,452,841",374
Papua New Guinea,"8,418,346",26
Togo,"7,990,926",6
Sierra Leone,"7,719,729",4
Bulgaria,"7,036,848",65
Paraguay,"6,896,908",32
Libya,"6,470,956",44
El Salvador,"6,411,558",29
Nicaragua,"6,284,757",15
Lebanon,"6,093,509",54
Turkmenistan,"5,851,466",42
Singapore,"5,791,901",350
Denmark,"5,754,356",370
Finland,"5,542,517",290
Norway,"5,353,363",443
Eritrea,"5,187,948",7
Costa Rica,"4,953,199",61
Liberia,"4,853,516",3
Oman,"4,829,946",83
Ireland,"4,803,748",385
New Zealand,"4,749,598",221
Central African Republic,"4,737,423",2
Mauritania,"4,540,068",5
Kuwait,"4,197,128",135
Croatia,"4,164,783",61
Panama,"4,162,618",67
Moldova,"4,041,065",9
Georgia,"3,907,131",16
Puerto Rico,"3,659,007",97
Uruguay,"3,469,551",63
Mongolia,"3,121,772",13
Albania,"2,934,363",15
Armenia,"2,934,152",12
Jamaica,"2,898,677",15
Lithuania,"2,876,475",54
Qatar,"2,694,849",184
Namibia,"2,587,801",13
Botswana,"2,333,201",19
Lesotho,"2,263,010",3
Slovenia,"2,081,260",57
Gabon,"2,067,561",17
Latvia,"1,929,938",36
Guinea-Bissau,"1,907,268",2
Bahrain,"1,566,993",38
Swaziland,"1,391,385",5
Trinidad and Tobago,"1,372,598",22
Timor-Leste,"1,324,094",3
Equatorial Guinea,"1,313,894",12
Estonia,"1,306,788",31
Mauritius,"1,268,315",13
Cyprus,"1,189,085",25
Djibouti,"971,408",2
Fiji,"912,241",5
Comoros,"832,347",1
Bhutan,"817,054",3
Guyana,"782,225",4
Montenegro,"629,219",6
Solomon Islands,"623,281",1
Luxembourg,"590,321",72
Suriname,"568,301",4
Cabo Verde,"553,335",2
Maldives,"444,259",5
Malta,"432,089",15
Belize,"382,444",2
Iceland,"337,780",29
Barbados,"286,388",5
Vanuatu,"282,117",1
Samoa,"197,695",1
Kiribati,"118,414",0
Tonga,"109,008",0
Grenada,"108,339",1
Micronesia,"106,227",0
