"","SLNO","Gender","AGE","CASTE","RELIGN","MTONGUE","OCCU","INCOME","Area","WRITE","READ","MATH","TOTAL","Gender_F","Gender_T","OCCU_C","OCCU_A","OCCU_B","OCCU_U","OCCU_H","OCCU_T","RELIGN_H","RELIGN_M","RELIGN_C","CASTE_OT","CASTE_ST","CASTE_SC","MTONGUE_T","MTONGUE_U","MTONGUE_K","MTONGUE_D","MTONGUE_H","acheivers"
"1",1838,"F",25,"OT","H","T","C",5000,0,10,19,8,37,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
"2",1539,"F",35,"ST","H","T","C",0,0,18.5,30.5,16,64,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
"3",3297,"F",18,"OT","H","T","C",7500,0,17,23,15,55,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
"4",337,"F",35,"OT","H","T","C",7000,0,21,34,20,75,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
"5",2796,"F",32,"OT","H","T","C",3500,0,14,35,22,71,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
"6",2886,"T",40,"OT","H","T","C",7000,3,13,26,21,60,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
"7",4846,"T",30,"OT","H","U","C",3000,0,10,29,16,55,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
"8",2209,"F",25,"OT","H","T","A",11000,0,11,18,11,40,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
"9",3259,"T",25,"SC","H","T","C",4500,0,18,25,18,61,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
"10",1015,"F",20,"OT","H","T","C",3000,0,12,16,9,37,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
"11",3725,"T",21,"OT","H","T","A",1500,0.5,17,29,20,66,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
"12",5257,"F",16,"OT","H","K","A",3000,1,13,24,4,41,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
"13",1671,"T",29,"SC","H","T","C",0,0,15,35,18,68,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
"14",2374,"F",24,"SC","H","T","C",6000,0,20,25,15,60,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
"15",4542,"F",28,"OT","H","T","A",3000,0,25,31,27,83,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
"16",3985,"F",21,"OT","H","T","A",5000,0,13,22,27,62,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
"17",1219,"T",25,"OT","H","T","C",1000,0,21,39,26,86,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
"18",2129,"F",26,"OT","H","T","C",4000,0,17,35,25,77,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
"19",2140,"F",20,"OT","H","T","A",7000,0,10,17,9,36,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
"20",4108,"F",38,"OT","H","T","C",1000,0,7,12,12,31,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
"21",3189,"F",29,"OT","H","T","A",12000,5,18,33,24,75,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
"22",4229,"F",24,"SC","H","T","C",7500,0,13,18,20,51,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
"23",3203,"T",19,"OT","H","T","A",12000,5,14,33,24,71,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
"24",4455,"F",34,"OT","H","T","C",4000,0,20,38,27,85,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
