"","SLNO","Gender","AGE","CASTE","RELIGN","MTONGUE","OCCU","INCOME","Area","WRITE","READ","MATH","TOTAL","Gender_F","Gender_T","OCCU_A","OCCU_C","OCCU_U","OCCU_H","OCCU_B","OCCU_T","RELIGN_H","RELIGN_M","RELIGN_C","CASTE_OT","CASTE_SC","CASTE_ST","MTONGUE_T","MTONGUE_U","MTONGUE_K","MTONGUE_D","MTONGUE_H"
"1",4727,"F",24,"OT","H","T","A",7500,0,15,28,19,62,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
"2",3947,"F",35,"OT","H","T","A",8000,0,21,25,11,57,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
"3",5576,"F",39,"OT","H","U","C",5000,0,16,38,22,76,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
"4",2696,"F",20,"OT","H","T","A",3000,0,15,7,3,25,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
"5",4892,"F",14,"OT","H","U","U",0,0,0,0,0,23,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0
"6",3995,"F",30,"OT","H","U","C",5000,0,14,27,23,64,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
"7",1361,"F",28,"OT","H","T","C",3500,0,19,30,21,70,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
"8",2545,"F",43,"OT","H","T","C",7500,0,12,36,7,55,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
"9",2748,"F",22,"OT","H","T","C",5000,3,15,31,20,66,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
"10",2688,"F",31,"OT","H","T","A",5000,2,10,17,14,41,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
"11",894,"F",23,"SC","H","T","C",6000,0,20,30,24,74,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
"12",3079,"F",17,"OT","H","T","C",3000,0,16,22,26,64,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
"13",4004,"F",30,"OT","H","T","C",7000,4,18,30,22,70,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
"14",755,"F",25,"SC","H","T","C",3000,0,11,33,7,51,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
"15",3102,"F",32,"OT","H","T","C",4000,0,13,19,20,52,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
"16",540,"F",21,"SC","H","T","C",4500,0,12,34,11,57,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
"17",2054,"F",30,"OT","H","T","C",8000,0,12,23,22,57,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
"18",3773,"T",27,"SC","H","T","C",6000,0,19,25,18,62,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
"19",212,"F",40,"SC","H","T","C",5000,0,15,19,11,45,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
"20",1559,"F",38,"SC","H","T","C",5000,0,7,7,14,28,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
"21",5515,"F",21,"SC","H","T","C",2000,0,19,18,11,48,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
"22",5774,"F",27,"OT","H","T","H",0,0,10,25,22,57,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
"23",1342,"F",30,"OT","H","T","C",3800,0,17,29,16,62,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
"24",45,"T",20,"OT","H","T","C",5000,0,21,26.5,12,60,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
