"","ID","Age","Height","Weight","Year","cluster"
"41",16,28,184,85,2014,1
"61",20,20,176,85,1992,3
"62",20,20,176,85,1992,3
"64",20,22,176,85,1994,3
"65",20,22,176,85,1994,3
"68",20,22,176,85,1994,3
"74",20,30,176,85,2002,4
"77",20,30,176,85,2002,4
"79",20,34,176,85,2006,4
"111",40,23,175.539605950945,73.953388285543,1952,3
"114",40,31,175.539605950945,73.953388285543,1960,4
"279",145,28,175,70,2014,4
"637",367,28,175,64,1994,4
"673",391,23,185,102,1924,1
"674",392,35,175.539605950945,73.953388285543,1952,4
"936",529,31,175.539605950945,73.953388285543,1928,4
"975",548,23,167,65,2006,2
"1134",634,20,176,82,1988,3
"1211",680,30,168,63,1968,4
"1245",702,24,184,69,2002,3
"1247",702,24,184,69,2002,3
"1248",702,28,184,69,2006,3
"1255",705,26,190,99,1992,1
"1256",705,26,190,99,1992,1
"1257",705,28,190,99,1994,1
"1258",705,28,190,99,1994,1
"1259",706,24,200,104,1994,1
"1367",772,24,175,95,2006,1
"1520",840,24,164,69,2014,2
"1721",956,27,190,110,2010,1
"1963",1085,22,183,88,2002,1
"2127",1181,18,168,67,2006,2
"2128",1181,23,168,67,2010,2
"2129",1181,26,168,67,2014,2
"2139",1188,24,178,75,2006,3
"2364",1322,23,175,73,1972,3
"2392",1336,32,179,78,1980,4
"2397",1340,27,177,75,2002,3
"2398",1341,44,175.539605950945,73.953388285543,1924,4
"2399",1342,24,182,90,1984,1
"2558",1435,24,184,66,2002,3
"2561",1435,28,184,66,2006,3
"2623",1469,24,175.539605950945,73.953388285543,1936,3
"2849",1581,24,169,64,1992,2
"2935",1639,21,160,55,1998,2
"2937",1639,25,160,55,2002,2
"2939",1639,29,160,55,2006,2
"2941",1639,29,160,55,2006,2
"2942",1639,29,160,55,2006,2
"3938",2274,22,182,85,1994,3
"3941",2275,30,174,67,1960,4
"3970",2296,31,187,84,1992,1
"3973",2296,31,187,84,1992,1
"3974",2296,33,187,84,1994,1
"3976",2296,33,187,84,1994,1
"3979",2296,37,187,84,1998,1
"4131",2378,17,165,57,1980,2
"4147",2379,31,175,64,2002,4
"4157",2386,16,175.539605950945,73.953388285543,1952,3
"4158",2386,20,175.539605950945,73.953388285543,1956,3
"4335",2473,20,168,69,1976,2
"4364",2486,22,180,81,1960,3
"4365",2486,26,180,81,1964,3
"4366",2486,30,180,81,1968,1
"4367",2487,26,178,89,1984,1
"4631",2639,33,182,92,2006,1
"4633",2639,41,182,92,2014,4
